COVERT TO	CONVERT FROM
A		00E1 00E2 00E3 00E4 00E5 0101 0103 0105 01CE 01FB 00C0 00C4
AE		00E6 01FD
C		00E7 0107 0109 010B 010D
D		010F 0111 00F0
E		00E8 00E9 00EA 00EB 0113 0115 0117 0119 011B
F		0192
G		011D 011F 0121 0123
H		0125 0127
I		00ED 00EC 00EE 00EF 0129 012B 012D 012F 0131
IJ		0133
J		0135
K		0137 0138
L		013A 013C 013E 0140 0142
N		00F1 0144 0146 0148 0149 014B
O		00F2 00F3 00F4 00F5 00F6 014D 014F 0151 01A1 01D2 01FF
OE		0153
R		0155 0157 0159
S		015B 015D 015F 0161
T		0163 0165 0167
U		00F9 00FA 00FB 00FC 0169 016B 016B 016D 016F 0171 0173 01B0 01D4 01D6 01D8 01DA 01DC
W		0175
Y		00FD 00FF 0177
Z		017A 017C 017E
A		00C1 00C2 00C3 CC04 00C5 00E0 0100 0102 0104 01CD 01FB
AE		00C6
C		00C7 0106 0108 010A 010C
D		010E 0110 00D0
E		00C8 00C9 00CA 00CB 0112 0114 0116 0118 011A
G		011C 011E 0120 0122
H		0124 0126
I		00CD 00CC 00CE 00CF 0128 012A 012C 012E 0049
IJ		0132
J		0134
K		0136
L		0139 013B 013D 013F 0141
N		00D1 0143 0145 0147 0149 014A
O		00D2 00D3 00D4 00D5 00D6 014C 014E 0150 01A0 01D1
OE		0152
R		0154 0156 0158
S		015A 015C 015E 0160
T		0162 0164 0166
U		00D9 00DA 00DB 00DC 0168 016A 016C 016E 0170 0172 01AF 01D3 01D5 01D7 01D9 01DB
W		0174
Y		0178 0176
Z		0179 017B 017D
